Номер реестровой записи контракта;Заказчик: ИНН;Предмет контракта;Цена контракта;Информация о поставщиках (исполнителях, подрядчиках) по контракту: ИНН
'2390603079323000616';'3906030793';'Поставка медицинских изделий для отделения нейрохирургии 1';'236 500,00';'390603299026'
'2770994480524000024';'7709944805';'Поставка канцелярских товаров 01.07 (альбомы)';'160 643,41';'3304024489'
'2352502347624000157';'3525023476';'Поставка дезинфицирующих средств № 3';'475 071,00';'352825517700'
'2690500372124000024';'6905003721';'Накопитель данных внутренний';'29 250,00';'2460059825'
'2212900939523000076';'2129009395';"'Капитальный ремонт лестниц 3НО БУ ""Республиканский наркологический диспансер» Минздрава Чувашии по адресу: г. Новочебоксарск, ул. Коммунистическая д.27 кор.5'";'2 626 000,00';'212914743815'
'2150102392424000173';'1501023924';'Поставка лекарственных средств в 2024 году для граждан, имеющих право на получение государственной социальной помощи в виде набора социальных услуг в соответствии с п .6.2. Федерального закона от 17.07.1999 г. № 178–ФЗ «О государственной социальной помощи» и проживающих на территории РСО-Алания» МНН Вилдаглиптин';'146 664,00';'7133028008'
'2440500176123000054';'4405001761';'Поставка лекарственного препарата для медицинского применения с международным непатентованным наименованием «Рекомбинантный белок, содержащий аминокислотную последовательность стафилокиназы» для нужд ОГБУЗ Нерехтская ЦРБ ';'144 837,00';'7604362486'
'2772009352323001199';'7720093523';'Оказание услуг по эксплуатации, техническому обслуживанию  системы снабжения медицинскими газами для нужд ГБУЗ МКНЦ имени А.С. Логинова ДЗМ в 2023-2024 гг.';'9 844 876,64';'8604058015'
'2616302976924000011';'6163029769';'Поставка пакетов полимерных';'17 961,61';'615520705111'
'2890300926324000305';'8903009263';'Поставка кроватей педиатрических';'609 646,97';'6204001412'
'2782605144224000015';'7826051442';'Поставка тряпок для пола';'12 696,86';'470409346081'
'2150102392424000160';'1501023924';'Поставка лекарственного средства МНН САТРАЛИЗУМАБ в 2024 году для граждан, имеющих право на получение государственной социальной помощи в соответствии с постановлением Правительства Российской Федерации от 30.07.94 № 890 «О государственной поддержке развития медицинской промышленности и улучшении обеспечения населения и учреждений здравоохранения лекарственными средствами и изделиями медицинского назначения».';'7 515 467,40';'2635230089'
'2246621260724000345';'2466212607';'ЗК-№-3283/24 «Анальгетики (Морфин) »';'14 100,00';'2466189073'
'2773424761424000012';'7734247614';'Поставка бланков аттестатов и приложений к аттестатам (бюджет 2024 г.)';'45 100,20';'7718779192'
'2633007744324000029';'6330077443';'Поставка канцелярских товаров для ГБОУ СОШ ''ОЦ ''Южный город''';'23 441,29';'6316176315'
'3560300940423000004';'5603009404';'Поставка мебели для обеспечения сохранности и хранения музейных предметов (фондовое оборудование).';'1 090 731,87';'5903030414'
'3181000227023000001';'1810002270';'Теплоснабжение';'551 478,49';'1838002400'
'2701711165724000037';'7017111657';'Оказание преподавательских услуг по оценке компетенций';'299 130,00';'222108868570'
'2366401759024000116';'3664017590';'Поставка лекарственного препарата для медицинского применения метопролол';'437,85';'3662212115'
'2665201132723000005';'6652011327';'Оказание услуг по  физической охране';'559 488,00';'7453340671'
'2272500647624000252';'2725006476';'Поставка продукции радиоэлектронной промышленности';'123 000,00';'7900004674'
'1110148157424000031';'1101481574';'Поставка аппаратно-программного комплекса микроскопии и микроанализа, вариант исполнения 5';'695 791,25';'7804697320'
'3235100795424000092';'2351007954';'Поставка медицинского инструментария.';'26 800,00';'5252046147'
'2246621260724000311';'2466212607';'ЗК-№-2708/24 «Диуретики Спиронолактон»';'113 040,00';'5017083029'
'3622500496824000010';'6225004968';'Шифр: 62-2024-нр5172 Поставка многофункциональных устройств';'19 360,83';'623104805501'
'1550104828124000028';'5501048281';'Поставка сантехнических приборов в камках капитального ремонта';'134 501,00';'7813257774'
'2701711165724000050';'7017111657';'Оказание преподавательских услуг по программе повышения квалификации муниципальных служащих по теме: «Создание эффективных презентаций»';'82 836,00';'701729576611'
'2519006936723000015';'5190069367';'Поставка лекарственного препарата для медицинского применения (ПИРИДОКСИН+ТИАМИН+ЦИАНОКОБАЛАМИН+ЛИДОКАИН)';'412 127,56';'7724922443'
'3480700169823000001';'4807001698';'Услуги по обращению с твердыми коммунальными отходами';'5 466,96';'6829005315'
'2602701578124000049';'6027015781';'Аптечка первой помощи (автомобильная)';'2 427,80';'6027181669'
'2222506913224000064';'2225069132';'Поставка SFP-модулей для нужд ККУ «УГОЧС и ПБ Алтайского края» на 2024 г.';'149 500,00';'2224213224'
'1110148157424000030';'1101481574';'Поставка аппаратно-программного комплекса микроскопии и микроанализа, вариант исполнения 4';'793 874,95';'7804697320'
'3622500496824000009';'6225004968';'Шифр: 62-2024-нр5172 Поставка компьютерных мышей';'643,32';'623104805501'
'2150102392424000153';'1501023924';'Поставка лекарственного средства ТН ХУМИРА в 2024 году для граждан, имеющих право на получение государственной социальной помощи в соответствии с постановлением Правительства Российской Федерации от 30.07.94 № 890 «О государственной поддержке развития медицинской промышленности и улучшении обеспечения населения и учреждений здравоохранения лекарственными средствами и изделиями медицинского назначения» по протоколу решения врачебной комиссии.';'573 104,40';'2635230089'
'2440500176123000018';'4405001761';'Поставка продуктов питания (рис,горох) для нужд  ОГБУЗ Нерехтская ЦРБ ';'10 303,50';'503821981049'
'1616405944524000068';'6164059445';'Оказание услуг по техническому обслуживанию и ремонту автотранспортных средств';'413 055,59';'616712100520'
'2563600327824000001';'5636003278';'на поставку лекарственного препарата для медицинского применения НОРЭПИНЕФРИН';'1 394,00';'7714474016'
'2771095815024000189';'7710958150';'Поставка освежителей воздуха и хозяйственных товаров (Закупка 9)';'1 932 275,00';'5408015980'
'3027702333624000052';'0277023336';'Закупка защитных чехлов для эндоскопа на 2024 г.';'50 652,00';'0278116505'
'1661000130224000081';'6610001302';'Лекарственные препараты';'3 300,00';'6685047449'
'1971006293924000002';'9710062939';'Аренда выставочной площади в целях размещения экспозиции Министерства науки и высшего образования Российской Федерации «Десятилетие науки и технологий»';'42 539 608,80';'7718748821'
'2614200085723000056';'6142000857';'Поставка продуктов питания (крупы) для ЦРБ';'418 720,00';'614309614221'
'2711200413324000052';'7112004133';'Поставка светодиодных светильников';'42 530,00';'7448162575'
'2633007744324000026';'6330077443';'Поставка канцелярских товаров для ГБОУ СОШ ''ОЦ ''Южный город''';'13 514,10';'6316176315'
'2272500647624000387';'2725006476';'Поставка ленты клеевой на бумажной основе';'6 900,00';'2722031763'
'2783833354724000128';'7838333547';"'Оказание преподавательских услуг по дополнительной профессиональной программе повышения квалификации ""Язык и стиль нормативно-правовых актов""'";'49 656,00';'781105699606'
'2150102392424000125';'1501023924';'Поставка лекарственного средства ТН ХУМИРА в 2024 году для граждан, имеющих право на получение государственной социальной помощи в соответствии с постановлением Правительства Российской Федерации от 30.07.94 № 890 «О государственной поддержке развития медицинской промышленности и улучшении обеспечения населения и учреждений здравоохранения лекарственными средствами и изделиями медицинского назначения» по протоколу решения врачебной комиссии.';'573 104,40';'2635230089'
