Номер реестровой записи контракта;Заказчик: ИНН;Предмет контракта;Цена контракта;Информация о поставщиках (исполнителях, подрядчиках) по контракту: ИНН
'1540629709422000172';'5406297094';'Поставка комплектующих и запасных частей для вычислительных машин (в сфере ИКТ)';'199 912,21';'781444461622'
'1732902836224000451';'7329028362';'Поставка медицинского оборудования (медицинский спирометр)';'52 834,50';'2635122083'
'3860302199024000002';'8603021990';'Поставка бумаги для офисной техники для муниципальных бюджетных учреждений';'93 816,44';'8603107693'
'2670001023824000002';'6700010238';'Услуги по организации и проведению первого этапа фестиваля в рамках серии игр «КВН по – Смоленски» (№ 0525-эзк)';'400 000,00';'672901331066'
'2561011370224000011';'5610113702';'Шина пневматическая для легкового автомобиля';'20 346,68';'5610165154'
'3614201308423000002';'6142013084';'Передача электрической энергии';'47 500,00';'6163089292'
'1784232871922000133';'7842328719';'Поставка модульных здравпунктов в рамках государственного оборонного заказа в целях реализации государственной программы вооружения';'9 402 578,64';'7838507521'
'3721500853124000053';'7215008531';'Выполнение работ по устройству защитного вала от  противопаводковой дамбы  по ул. Кооперативной до ул. Ялуторовская в с. Новолыбаево';'1 582 407,06';'720900982369'
'3100104592023000007';'1001045920';'поставка учебной литературы';'21 243,75';'7715995942'
'3545317752723000006';'5453177527';'Поставка тепловой энергии и горячего водоснабжения';'43 272,25';'5403079838'
'3234401147724000098';'2344011477';'Приобретение серверного программного обеспечения для сервера медицинской организации';'423 445,26';'7736658641'
'2670001023824000021';'6700010238';'Поставка оборудования (мфу) для нужд Смоленского областного государственного бюджетного учреждения «Молодежный центр «Пушкинский»';'166 666,00';'344600898612'
'2772180587924000010';'7721805879';"'Поставка учебно-методического пособия для нужд ГБОУ Школа ""Кузьминки""'";'132 990,00';'7715995942'
'2773305412024000081';'7733054120';'Поставка лекарственного препарата (МНН: Изониазид) на 2024 год.';'76 800,00';'7734481893'
'2623411636124000082';'6234116361';'Поставка канцелярских товаров';'13 399,50';'6234064089'
'2510200743824000089';'5102007438';'поставка флеш накопителей для ГОБУЗ «Кандалакшская ЦРБ» г. Кандалакша';'38 889,50';'5427128731'
'2781311776022000021';'7813117760';'Теплоснабжение';'845 500,00';'7802528743'
'2772335616023000749';'7723356160';'Поставка периферийного компьютерного оборудования и шкафов телекоммуникационных для обеспечения учебного процесса ГБПОУ «26 КАДР»';'4 815 318,00';'9715388966'
'2910900879823000069';'9109008798';"'Выполнение строительно - монтажных работ по объекту: ""Капитальный ремонт фельдшерско-акушерского пункта по адресу: Республика Крым, Белогорский район ,с. Алексеевка, ул. Центральная, 19 (дополнительные работы)""'";'2 593 485,36';'2311309645'
'3614201698424000004';'6142016984';'Поставка учебников';'510 981,90';'7715995942'
'2670001023824000023';'6700010238';'Поставка звукового оборудования и коммутации для нужд Смоленского областного государственного бюджетного учреждения «Молодежный центр «Пушкинский»';'668 100,00';'780160885390'
'2780514930221000023';'7805149302';'Поставка медалей для образовательных учреждений Кировского района Санкт-Петербурга в 2021 году.';'1 170,00';'7841345341'
'1732902836223001082';'7329028362';'Поставка расходных материалов для КДЛ (Филиал №2)';'27 169,72';'7457007914'
'1213004473224000003';'2130044732';'Поставка бумаги для офисной техники';'65 540,00';'210301311570'
'2910201208024000018';'9102012080';'Поставка конвертов почтовых бумажных';'50 000,00';'010603964932'
'2673102076524000027';'6731020765';'Оказание услуг по проведению обязательных психиатрических освидетельствований работников (при приеме на работу)';'18 000,00';'6732175497'
'2366201394524000009';'3662013945';'Поставка кресел офисных.';'135 118,82';'3445123860'
'1773401280623001122';'7734012806';'Поставка лекарственного препарата для медицинского применения (МНН: Факторы свертывания крови II, IX и X в комбинации)';'2 540 000,00';'7714474016'
'2323401348024000038';'3234013480';"'поставка лекарственных препаратов (апротинин) лот № 4 для нужд ГБУЗ ""БОИБ""'";'2 189,00';'3255510243'
'2770503923223000467';'7705039232';'Поставка медицинских изделий для проведения операций в рамках ВМП для оториноларингологического отделения для нужд ГБУЗ «Морозовская ДГКБ ДЗМ»';'1 631 030,65';'7727344487'
'2670001023824000007';'6700010238';'Услуги по организации и проведению выставки, посвященной героям СВО (№ 0577-эзк)';'300 000,00';'6732003441'
'2501500688624000010';'5015006886';'Поставка спортивных товаров : Поставка фехтовальной дорожки';'1 030 000,00';'7807188191'
'2380817232724000329';'3808172327';'Поставка лекарственного препарата для медицинского применения ВАКЦИНА ДЛЯ ПРОФИЛАКТИКИ ВИРУСНОГО ГЕПАТИТА А';'1 231 980,00';'7705499230'
'1770659294724000364';'7706592947';'Поставка крафт конвертов';'4 597,10';'667305647600'
'1732902836223001050';'7329028362';'Поставка расходных материалов для КДЛ (Филиал №2)';'1 485,00';'6315006631'
'1320600354724000006';'3206003547';'Поставщик обязуется передать в собственность в рамках государственного оборонного заказа на 2024 год продукты питания (далее - Товар) Государственному заказчику в обусловленный настоящим Контрактом срок, согласно Спецификации (Приложение N 1 к настоящему Контракту) и График поставки (Приложение N 2 к настоящему Контракту).';'694 890,00';'3227005023'
'3434605051724000003';'4346050517';'Бумага для офисной техники';'4 289,69';'4345468090'
'2690600096324000024';'6906000963';'Поставка лекарственных препаратов для медицинского применения (Пропофол) на 2024 год (совместная закупка №15386)';'5 432,00';'7708823950'
'1740402737823000010';'7404027378';'Выполнение работ по вывозке древесины';'2 259 336,86';'740417941397'
'2402707413424000070';'4027074134';'Выполнение работ по установке метеорологических систем мониторинга погодных условий и прогнозирования условий движения на автомобильных дорогах общего пользования регионального или межмуниципального значения Калужской области на 2024 год.';'11 658 185,00';'7734407963'
'3614201698424000005';'6142016984';'Поставка учебников';'641 548,05';'7715995942'
'2121504367023000020';'1215043670';'Текущий ремонт в ГБУ РМЭ «ДДИ «Солнышко»';'336 990,00';'504107264159'
'3614201353523000001';'6142013535';'Поставка газа';'206 684,42';'6167049710'
'3292200485523000023';'2922004855';'Отпуск теплоносителя в виде горячей воды на нужды отопления';'517 531,65';'2922008546'
'2380817232724000333';'3808172327';'Поставка лекарственного препарата для медицинского применения ВАКЦИНА ДЛЯ ПРОФИЛАКТИКИ ДИЗЕНТЕРИИ';'348 690,00';'7728359623'
'2501500688624000009';'5015006886';'Поставка спортивных товаров : Поставка обуви для отделения фехтования';'945 250,00';'781603639409'
'2632502534424000006';'6325025344';'Поставка автобуса';'5 000 000,00';'6311167772'
'2563700413023000304';'5637004130';'На поставку сухофруктовой смеси';'11 049,86';'5612087159'
'3165016289024000007';'1650162890';'Поставка моющих чистящих средств для нужд муниципальных образовательных учреждений';'11 315,00';'165025319409'
'2590440433424000045';'5904404334';'Поставка гелия';'140 420,00';'4703170074'
'1616307230924000050';'6163072309';'Поставка бумаги для офисной техники белой';'829 468,98';'610104438440'
'2710703104323000195';'7107031043';'Поставка перевязочных средств (повязки мазевые)';'8 031,00';'7118502520'
'2563700413023000214';'5637004130';'На поставку соли пищевой';'1 600,00';'5612087159'
'2246621522024000013';'2466215220';'Бумага для офисной техники';'660 000,00';'2465232008'
'3614201353523000002';'6142013535';'Энергоснабжение';'110 831,77';'6168002922'
'2380817232724000360';'3808172327';'Поставка лекарственного препарата для медицинского применения ВАКЦИНА ДЛЯ ПРОФИЛАКТИКИ ВИРУСНОГО ГЕПАТИТА А';'1 526 940,00';'7705499230'
'2911100862923000070';'9111008629';'Оказание услуг по техническому обслуживанию и ремонту лифтов		';'318 060,00';'2312276079'
'1027609042824000021';'0276090428';'Услуги по ремонту и техническому обслуживанию прочего оборудования (кондиционеры)';'9 466,66';'022000625129'
